代码,时间,卖出平均价格,累计成交量,累计成交金额,累计笔数,最高价,最低价,卖5价,卖5量,卖4价,卖4量,卖3价,卖3量,卖2价,卖2量,卖1价,卖1量,买1价,买1量,买2价,买2量,买3价,买3量,买4价,买4量,买5价,买5量
300888,91500.000,,,,,,,,,,,,,,,,,,,,,,,,,,
300888,91509.000,,,,,,,,,,,,,0.000000,2400,38.070000,300,38.070000,300,,,,,,,,
300888,91948.000,,,,,,,,,,,,,0.000000,3500,38.070000,300,38.070000,300,,,,,,,,
300888,91957.000,,,,,,,,,,,,,0.000000,3000,38.070000,800,38.070000,800,,,,,,,,
300888,92224.000,,,,,,,,,,,,,0,0,38.060000,800,38.060000,800,,,,,,,,
300888,92354.000,,,,,,,,,,,,,0,0,37.980000,5700,37.980000,5700,,,,,,,,
300888,92412.000,,,,,,,,,,,,,0,0,37.980000,5700,37.980000,5700,0.000000,100,,,,,,
300888,92430.000,,,,,,,,,,,,,0,0,37.980000,5700,37.980000,5700,0.000000,200,,,,,,
300888,92448.000,,,,,,,,,,,,,0,0,37.980000,6000,37.980000,6000,0.000000,300,,,,,,
300888,92457.000,,,,,,,,,,,,,0,0,38.000000,6100,38.000000,6100,0.000000,900,,,,,,
300888,92500.000,38.100000,41700.00,1588770.0000,33,38.100000,38.100000,38.410000,1500,38.400000,3900,38.370000,500,38.360000,1000,38.300000,500,38.100000,1800,38.090000,7800,38.080000,300,38.070000,500,38.050000,500
300888,93000.000,38.150000,42200.00,1607845.0000,34,38.150000,38.100000,38.320000,1000,38.300000,1100,38.290000,1900,38.250000,100,38.150000,600,38.120000,1300,38.110000,6100,38.100000,5300,38.080000,300,38.070000,500
300888,93003.000,38.120000,49299.00,1878998.8900,54,38.290000,38.100000,38.320000,1000,38.300000,1400,38.290000,400,38.240000,100,38.120000,1500,38.110000,5201,38.100000,7900,38.080000,300,38.070000,500,38.050000,2700
300888,93006.000,38.110000,53899.00,2054345.8900,80,38.290000,38.100000,38.330000,600,38.320000,1000,38.300000,1700,38.290000,400,38.240000,1200,38.110000,5101,38.100000,8100,38.080000,300,38.070000,500,38.050000,2700
300888,93009.000,38.120000,58399.00,2225926.8900,103,38.290000,38.100000,38.300000,1700,38.290000,400,38.240000,2000,38.230000,4000,38.220000,100,38.120000,200,38.110000,2301,38.100000,6300,38.080000,300,38.070000,500
300888,93012.000,38.110000,62100.00,2366975.0000,116,38.290000,38.100000,38.210000,1700,38.200000,100,38.140000,100,38.120000,2300,38.110000,3599,38.100000,6200,38.080000,300,38.070000,500,38.050000,2700,38.040000,600
300888,93015.000,38.100000,69200.00,2637477.0000,144,38.290000,38.090000,38.210000,300,38.140000,100,38.120000,1200,38.110000,4499,38.100000,10300,38.080000,300,38.070000,500,38.050000,2700,38.040000,600,38.030000,700
300888,93018.000,38.080000,69700.00,2656519.0000,148,38.290000,38.080000,38.120000,400,38.110000,3799,38.100000,10300,38.090000,700,38.080000,100,38.070000,500,38.050000,2700,38.040000,600,38.020000,900,38.010000,1600
300888,93021.000,38.070000,70900.00,2702214.0000,156,38.290000,38.070000,38.110000,500,38.100000,5400,38.090000,200,38.080000,3200,38.070000,400,38.060000,1200,38.050000,2800,38.040000,600,38.020000,900,38.010000,1600
300888,93024.000,38.050000,73100.00,2785946.0000,169,38.290000,38.050000,38.110000,500,38.100000,2100,38.090000,200,38.080000,3300,38.070000,300,38.050000,2500,38.040000,600,38.020000,900,38.010000,1600,38.000000,2700
300888,93027.000,38.060000,73800.00,2812587.0000,174,38.290000,38.050000,38.100000,2100,38.090000,200,38.080000,2600,38.070000,800,38.060000,3000,38.050000,2500,38.040000,600,38.020000,900,38.010000,1600,38.000000,2700
300888,93030.000,38.060000,74600.00,2843034.0000,179,38.290000,38.050000,38.100000,1900,38.090000,200,38.080000,2600,38.070000,700,38.060000,2300,38.050000,2400,38.040000,600,38.020000,900,38.010000,1600,38.000000,2700
300888,93033.000,38.060000,76700.00,2922958.0000,191,38.290000,38.050000,38.100000,1900,38.090000,200,38.080000,2600,38.070000,700,38.060000,400,38.050000,2200,38.040000,600,38.020000,900,38.010000,1600,38.000000,2700
